,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
138,92,95,-30.17,-50.22,61.73,10.09
139,20,100,61.63,50.97,39.2,2.24
140,90,93,37.46,-122.43,62.56,6.93
141,64,94,5.83,-72.84,50.39,0.47
142,90,93,59.7,30.79,60.8,2.24
143,68,88,66.0,57.56,54.17,9.31
144,90,67,51.59,-3.0,60.19,1.12
145,75,93,48.64,13.53,60.8,2.24
146,40,88,6.19,-67.49,77.0,2.15
147,12,75,67.8,130.41,41.21,4.05
148,0,79,-2.76,-42.27,79.55,16.24
149,0,80,-22.97,-42.02,74.6,22.5
150,0,59,70.24,22.35,59.85,17.22
151,75,88,35.74,139.53,76.32,3.36
152,75,100,66.4,14.52,51.8,1.12
153,64,98,-5.67,132.75,80.18,11.21
154,92,99,-34.0,24.73,59.93,23.17
155,68,65,51.3,-116.96,45.53,1.7
156,32,100,77.48,-69.36,31.13,1.81
157,0,61,63.75,121.63,49.94,4.94
158,12,100,29.7,-9.73,66.05,1.7
159,92,100,38.52,-28.7,72.53,16.46
160,75,93,64.42,-173.23,48.2,11.18
161,90,89,34.64,-120.46,59.5,6.93
162,40,80,63.75,-68.52,41.0,21.92
163,80,98,5.67,73.0,83.6,5.5
164,92,100,-28.95,153.24,55.16,6.62
165,68,90,41.26,125.37,69.11,4.27
166,12,70,-43.53,172.64,46.4,19.46
167,0,62,45.65,0.15,57.31,9.17
168,20,72,50.09,38.04,56.06,2.93
169,75,88,41.19,40.99,71.6,11.41
170,0,83,-4.67,-44.85,76.94,2.71
171,24,100,30.57,79.57,36.44,1.36
172,20,43,34.03,-5.02,71.08,3.36
173,0,100,-0.74,-90.35,70.01,10.42
174,90,84,39.18,-96.57,75.54,11.41
175,1,74,21.35,-158.09,80.74,6.93
176,0,80,56.37,75.24,50.3,9.42
177,32,81,9.49,50.81,71.72,25.41
178,76,99,-28.77,32.06,65.87,12.44
179,80,93,46.7,-75.45,69.29,4.38
180,92,100,-33.59,26.89,57.41,19.48
181,0,97,-42.48,-73.76,33.29,4.05
182,20,78,-3.41,-39.03,78.8,16.11
